date, MI, US
1999-12-31,574.9219,522.9527
2000-12-31,555.0064,506.5299
2001-12-31,553.8929,504.5185
2002-12-31,540.7229,494.3771
2003-12-31,511.2888,475.8351
2004-12-31,492.2406,463.1556
2005-12-31,553.7761,469.0428
2006-12-31,564.4118,479.3354
2007-12-31,533.816,471.7739
2008-12-31,514.9438,458.6142
2009-12-31,499.7629,431.8787
2010-12-31,492.9867,404.5023
2011-12-31,442.7648,387.0597
2012-12-31,454.965,387.7538
2013-12-31,452.1734,369.1334
2014-12-31,429.1417,361.5539
2015-12-31,420.5807,373.7372
2016-12-31,460.8874,397.5208
2017-12-31,449.8896,394.8597
2018-12-31,449.3636,380.559
